word,half_a,half_b,zipf_a,zipf_b
hammerhead,hammer,head,4.16,5.51
hamstrings,ham,strings,4.12,4.04
handball,hand,ball,5.41,5.04
handlebar,handle,bar,4.79,4.94
headlights,head,lights,5.51,4.64
headline,head,line,5.51,5.49
headrest,head,rest,5.51,5.23
honeymoon,honey,moon,4.37,4.7
hourglass,hour,glass,5.18,4.85
iceland,ice,land,5.0,5.22
inspection,inspect,ion,3.63,4.15
jellyfish,jelly,fish,3.77,4.9
keyboard,key,board,5.12,5.24
keychain,key,chain,5.12,4.65
keyhole,key,hole,5.12,4.66
kitesurfing,kite,surfing,3.55,3.72
landmine,land,mine,5.22,5.04
legend,leg,end,4.66,5.68
legion,leg,ion,4.66,4.15
lifebuoy,life,buoy,5.89,3.0
lightbulb,light,bulb,5.33,3.66
lighthouse,light,house,5.33,5.71
lightsaber,light,saber,5.33,3.18
limestone,lime,stone,3.86,4.8
lipstick,lips,tick,4.35,3.8
lotion,lot,ion,5.61,4.15
loveseat,love,seat,5.82,4.82
medallion,medal,lion,4.39,4.25
microphone,micro,phone,4.08,5.3
microwave,micro,wave,4.08,4.62
motherboard,mother,board,5.24,5.24
motorbike,motor,bike,4.53,4.53
necklace,neck,lace,4.63,3.82
newsletter,news,letter,5.44,4.95
newspaper,news,paper,5.44,5.07
notebook,note,book,5.04,5.43
package,pack,age,4.66,5.32
pancakes,pan,cakes,4.39,3.85
paperclip,paper,clip,5.07,4.26
parking,par,king,4.15,5.17
passage,pass,age,5.05,5.32
passion,pass,ion,5.05,4.15
pineapple,pine,apple,4.1,4.76
pitchfork,pitch,fork,4.43,4.03
pitstop,pit,stop,4.27,5.52
popcorn,pop,corn,4.87,4.19
postcard,post,card,5.43,5.04
question,quest,ion,4.27,4.15
rainbow,rain,bow,4.71,4.3
raincoat,rain,coat,4.71,4.36
rainfall,rain,fall,4.71,5.13
rainforest,rain,forest,4.71,4.7
recession,recess,ion,3.53,4.15
riverbed,river,bed,5.03,5.07
rooftop,roof,top,4.55,5.57
rowboat,row,boat,4.6,4.71
sailboat,sail,boat,4.01,4.71
sailfish,sail,fish,4.01,4.9
sandcastle,sand,castle,4.44,4.45
sandstorm,sand,storm,4.44,4.66
scoreboard,score,board,4.83,5.24
seafood,sea,food,5.06,5.4
seahorse,sea,horse,5.06,4.76
seatbelt,seat,belt,4.82,4.42
seventeen,seven,teen,5.08,4.33
shellfish,shell,fish,4.39,4.9
sidestroke,side,stroke,5.5,4.27
skincare,skin,care,4.91,5.56
soundcheck,sound,check,5.15,5.31
soundhole,sound,hole,5.15,4.66
spacebar,space,bar,5.23,4.94
spaceship,space,ship,5.23,4.93
spellbook,spell,book,4.37,5.43
starboard,star,board,5.19,5.24
starfish,star,fish,5.19,4.9
stopwatch,stop,watch,5.52,5.34
sunday,sun,day,4.97,5.95
sundial,sun,dial,4.97,3.93
sundog,sun,dog,4.97,5.1
sunflower,sun,flower,4.97,4.42
sunglasses,sun,glasses,4.97,4.34
sunlight,sun,light,4.97,5.33
sunscreen,sun,screen,4.97,4.85
swimcap,swim,cap,4.21,4.51
takedown,take,down,5.92,5.88
tangram,tan,gram,4.01,3.76
thunderstorm,thunder,storm,4.14,4.66
tombstone,tomb,stone,3.89,4.8
underground,under,ground,5.73,5.15
underpass,under,pass,5.73,5.05
undershirt,under,shirt,5.73,4.63
underwater,under,water,5.73,5.52
voltage,volt,age,3.32,5.32
warlock,war,lock,5.46,4.51
warship,war,ship,5.46,4.93
watercolor,water,color,5.52,4.91
waterfall,water,fall,5.52,5.13
website,web,site,4.74,5.22
wheelchair,wheel,chair,4.5,4.69
whitetail,white,tail,5.51,4.34
wildlife,wild,life,4.8,5.89
windsurfing,wind,surfing,4.84,3.72
woodblock,wood,block,4.78,4.88
woodwinds,wood,winds,4.78,4.22
wristwatch,wrist,watch,4.01,5.34
yellowstone,yellow,stone,4.69,4.8
